task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,1,reward_fcn,after_cross_before_round,0.7150972206145525,9.014272,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,1,reward_fcn,after_round,0.7629027608782053,8.561152,220144,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,2,bellman_operator,after_cross_before_round,2.3580123968422413,8.886784,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,2,bellman_operator,after_round,2.3638323713093996,8.804864,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,3,get_advantage_from_value,after_cross_before_round,0.5889058876782656,9.285632,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,3,get_advantage_from_value,after_round,0.6107695903629065,8.8192,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,4,bellman_operator,after_cross_before_round,1.833164026029408,8.828416,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,4,bellman_operator,after_round,1.8411496169865131,8.746496,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,5,get_advantage_from_value,after_cross_before_round,0.5792623488232493,9.225216,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,5,get_advantage_from_value,after_round,0.6016369862481952,8.758784,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,6,bellman_operator,after_cross_before_round,1.9579523233696818,8.828416,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed2_prestudy5080hybrid,2,HM8,hybrid_block_plus_sensitivity,6,bellman_operator,after_round,1.9621220920234919,8.750592,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
