task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,1,reward_fcn,after_cross_before_round,0.6898178849369287,9.014272,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,1,reward_fcn,after_round,0.7517228331416845,8.566272,220144,"[2, 2, 2, 2, 3, 4, 3, 2, 3, 4, 3, 2, 3, 2, 3, 2, 3, 2, 2]",4,2.5789473684210527,2,2,2,2,3,4,3,2,3,4,3,2,3,2,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,2,bellman_operator,after_cross_before_round,2.340936752036214,8.912896,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,2,bellman_operator,after_round,2.346829917281866,8.830976,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,3,get_advantage_from_value,after_cross_before_round,0.6108090076595545,9.311744,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,3,get_advantage_from_value,after_round,0.6330263251438737,8.845312,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,4,bellman_operator,after_cross_before_round,1.9823728827759624,8.829952,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,4,bellman_operator,after_round,1.994815575890243,8.748032,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,5,get_advantage_from_value,after_cross_before_round,0.6184323113411665,9.226752,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,5,get_advantage_from_value,after_round,0.651316374540329,8.76032,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,6,bellman_operator,after_cross_before_round,2.0556363156065345,8.829952,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,6,bellman_operator,after_round,2.0655636563897133,8.752128,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,7,get_advantage_from_value,after_cross_before_round,0.6083428943529725,9.234944,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,7,get_advantage_from_value,after_round,0.6345079094171524,8.768512,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,8,bellman_operator,after_cross_before_round,1.9483017306774855,8.838144,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,8,bellman_operator,after_round,1.9545660531148314,8.76032,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,9,get_advantage_from_value,after_cross_before_round,0.5903072478249669,9.234944,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,9,get_advantage_from_value,after_round,0.6130623901262879,8.768512,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,10,bellman_operator,after_cross_before_round,2.058730841614306,8.838144,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_spectral_seed1_formal5080,1,HM8_actuator_relabelled,pam_spectral,10,bellman_operator,after_round,2.0654119309037924,8.76032,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
