task_name,seed,env,ordering,call_index,function_name,domain_dim,domain_sizes_json,max_batch,rmax,nswp,eps,kickrank,elapsed_sec,memory_mb_start,memory_mb_end,function_eval_requests,queried_points,rank_profile_json,rank_max,rank_mean
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,1,reward_fcn,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.0001,10,1.4121912382543087,0.0128,8.5888,272114,272114,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.4074074074074074
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,2,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.454190757125616,8.912384,8.917504,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,3,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,1.1429962115362287,8.914432,8.948224,272114,272114,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,4,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.924223664216697,8.81408,8.8192,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,5,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,1.1328592179343104,8.81408,8.847872,272114,272114,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,6,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.953082491643727,8.81408,8.823296,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,7,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,1.1675876714289188,8.822272,8.856064,272114,272114,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,8,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.8684928631410003,8.822272,8.831488,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,9,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,1.2411353681236506,8.822272,8.856064,272114,272114,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,10,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.945315007120371,8.822272,8.831488,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,11,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,1.2207688437774777,8.822272,8.872448,272114,272114,"[3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",3,2.0
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,12,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.394446345977485,8.893952,8.903168,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,13,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,1.1770449597388506,8.893952,8.968704,272114,272114,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2]",4,2.888888888888889
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,14,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.6784289684146643,9.00864,9.017856,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,15,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,1.3926064679399133,9.00864,9.089024,272114,272114,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 3, 2, 3, 2, 2]",4,3.074074074074074
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,16,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.607600168325007,9.033728,9.042944,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,17,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,1.3170576365664601,9.033728,9.119232,272114,272114,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.2222222222222223
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,18,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.653363690711558,9.055232,9.064448,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,19,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,3.688381399028003,9.055232,9.140736,888342,888342,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.2222222222222223
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,20,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.6063745487481356,9.055232,9.064448,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,21,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,3.733706553466618,9.055232,9.140736,888342,888342,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.2222222222222223
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,22,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.5649212328717113,9.055232,9.064448,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,23,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,6.339067880995572,9.055232,9.153536,2227050,2227050,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 5, 4, 4, 3, 5, 3, 2]",5,3.5925925925925926
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,24,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.7849817546084523,9.113088,9.122304,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,25,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,3.613400377333164,9.113088,9.217536,888342,888342,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 3, 5, 3, 2]",5,3.740740740740741
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,26,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.8809690438210964,9.139712,9.148928,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,27,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,3.8566078720614314,9.139712,9.229312,888342,888342,"[3, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.2962962962962963
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,28,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.5787636740133166,9.07264,9.081856,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,29,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,3.699830422177911,9.07264,9.217536,888342,888342,"[4, 5, 4, 3, 4, 4, 4, 3, 4, 4, 5, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 5, 3, 5, 3, 2]",6,4.518518518518518
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,30,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,4.185233814641833,9.299968,9.309184,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,31,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,9.086425140500069,9.299968,9.481728,4561678,4561678,"[3, 5, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 6, 5, 7, 6, 7, 7, 8, 7, 6, 4, 7, 4, 2]",8,5.148148148148148
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,32,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,4.426140973344445,9.442304,9.45152,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,33,get_advantage_from_value,28,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50, 50, 2]",100002,100,10,0.001,10,6.587081926874816,9.442304,9.574912,2227050,2227050,"[4, 5, 4, 3, 4, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 6, 5, 6, 4, 5, 3, 5, 3, 2]",6,4.333333333333333
HM12_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,6,HM12,hybrid_pam,34,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,4.077517076395452,9.255936,9.265152,120960,120960,"[3, 3, 2]",3,2.6666666666666665
